url,keyword,position,search_volume,cpc,traffic_index,traffic_potential,tix_delta,seo_value,seo_value_potential,seva_delta
https://www.ebay.com/b/Travel-Duffle-Bags/16080/bn_16320242,duffle trolley bags,44,9,0.72,0,1,1,0,0.72,72
https://www.ebay.com/b/Travel-Duffle-Bags/16080/bn_16320242,travel duffel,40,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,nfl cards,8,45,0.24,1,7,6,0.24,1.68,144
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,card football,8,8,0.01,0,1,1,0,0.01,1
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,football card store,8,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,football cards,7,138,0.28,3,23,20,0.84,6.44,560
https://www.ebay.com/b/Football-Trading-Cards/215/bn_2313620,football trading cards 2014,5,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Mens-Hats/52365/bn_738858,buy cool hats online,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Mens-Hats/52365/bn_738858,buy hats online usa,8,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Mens-Hats/52365/bn_738858,mens hat,49,13,0.24,0,1,1,0,0.24,24
https://www.ebay.com/b/Mens-Hats/52365/bn_738858,hat hats,44,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Mens-Hats/52365/bn_738858,cap men,43,14,0.16,0,2,2,0,0.32,32
https://www.ebay.com/b/Pro-Audio-Synthesizers/38071/bn_2313927,synthesizers for sale,8,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Pro-Audio-Synthesizers/38071/bn_2313927,great synthesizer,47,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Pro-Audio-Synthesizers/38071/bn_2313927,top rated synthesizers,29,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Pro-Audio-Synthesizers/38071/bn_2313927,korg r3 prezzo,22,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Pro-Audio-Synthesizers/38071/bn_2313927,ebay synth,10,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Drop-Dangle-Fashion-Earrings/50647/bn_2217258,dangle earrings for women,17,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Drop-Dangle-Fashion-Earrings/50647/bn_2217258,big dangling earrings,16,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Shark-Vacuum-Parts-Accessories/42146/bn_7722312,shark vacuum parts,6,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Seats-for-Chevrolet-Truck/33701/bn_1357529,chevy truck seats,1,4,0,1,1,0,0,0,0
https://www.ebay.com/b/Militaria/13956/bn_1852614,militaria ebay,6,149,0,4,24,20,0,0,0
https://www.ebay.com/b/Militaria/13956/bn_1852614,www.militaria.com,41,0,0.24,0,0,0,0,0,0
https://www.ebay.com/b/Militaria/13956/bn_1852614,militarias,37,8,0,0,1,1,0,0,0
https://www.ebay.com/b/Militaria/13956/bn_1852614,d and b militaria,30,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Militaria/13956/bn_1852614,m and t militaria,29,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Tractor-Loaders/91953/bn_36843180,tractor front loader,25,11,0.02,0,1,1,0,0.02,2
https://www.ebay.com/b/Tractor-Loaders/91953/bn_36843180,loader tractor,2,9,0,1,1,0,0,0,0
https://www.ebay.com/b/Tractor-Loaders/91953/bn_36843180,front loader tractor for sale,1,10,0,2,2,0,0,0,0
https://www.ebay.com/b/Tractor-Loaders/91953/bn_36843180,used tractor loaders for sale,1,10,0,2,2,0,0,0,0
https://www.ebay.com/b/Tractor-Loaders/91953/bn_36843180,tractor loader,1,10,0,2,2,0,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Harley-Davidson/171108/bn_1395646,harley engine sizes,42,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Harley-Davidson/171108/bn_1395646,96 harley motor,30,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Harley-Davidson/171108/bn_1395646,motor harley custom,28,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Harley-Davidson/171108/bn_1395646,the best harley davidson engine,25,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Complete-Engines-for-Harley-Davidson/171108/bn_1395646,harley davidson 110 motor,22,10,0.23,0,2,2,0,0.46,46
https://www.ebay.com/b/Washing-Machines/71256/bn_3241856,laundry washing machines for sale,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Washing-Machines/71256/bn_3241856,washing machines on sale,9,9,0.05,0,1,1,0,0.05,5
https://www.ebay.com/b/Washing-Machines/71256/bn_3241856,washing machine sale,8,37,0.45,1,6,5,0.45,2.7,225
https://www.ebay.com/b/Washing-Machines/71256/bn_3241856,washing machine sales,6,9,0.49,0,1,1,0,0.49,49
https://www.ebay.com/b/Washing-Machines/71256/bn_3241856,washing machine on sale cheap,50,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Glass/50693/bn_1865574,glass for sale,1,9,0,1,1,0,0,0,0
https://www.ebay.com/b/Womens-Activewear/185098/bn_114990355,activewear womens,35,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-Shift-Knobs-Boots/33703/bn_576997,truck shifter knobs,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-Shift-Knobs-Boots/33703/bn_576997,shifter knobs,9,11,0.01,0,2,2,0,0.02,2
https://www.ebay.com/b/Car-Truck-Shift-Knobs-Boots/33703/bn_576997,shift gear knob,8,20,0.29,0,3,3,0,0.87,87
https://www.ebay.com/b/Car-Truck-Shift-Knobs-Boots/33703/bn_576997,gear shift knobs,8,18,0.18,0,1,1,0,0.18,18
https://www.ebay.com/b/Car-Truck-Shift-Knobs-Boots/33703/bn_576997,shift knobs,6,136,0.26,3,11,8,0.78,2.86,208
https://www.ebay.com/b/Shower-Curtains/20441/bn_824319,bathroom curtain,9,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Shower-Curtains/20441/bn_824319,most beautiful shower curtains,44,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Shower-Curtains/20441/bn_824319,bathroom shower curtains,43,10,0.57,0,1,1,0,0.57,57
https://www.ebay.com/b/Shower-Curtains/20441/bn_824319,custom shower curtain,43,9,0,0,1,1,0,0,0
https://www.ebay.com/b/Shower-Curtains/20441/bn_824319,shower curtain waterproof,40,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-LED-Light-Bulbs/33713/bn_566578,led light bulb for cars,8,10,0,0,2,2,0,0,0
https://www.ebay.com/b/Car-Truck-LED-Light-Bulbs/33713/bn_566578,led light bulbs for cars,8,10,0,0,2,2,0,0,0
